,Year,TRK,Track,Category,Session,Date,Track_Condition,Track_Temp,Air_Temp,Humidity,Position,Points,Rider_Number,Rider_Name,Nationality,Team_Name,Bike,Avg_Speed,Time
0,2009,QAT,COMMERCIALBANK GRAND PRIX OF QATAR - Losail International Circuit,MotoGP,RAC,"April,13,2009",Dry,26º,22º,79%,1,25.0,27,Casey STONER,AUS,Ducati Marlboro Team,Ducati,165.5,42'53.984
1,2009,QAT,COMMERCIALBANK GRAND PRIX OF QATAR - Losail International Circuit,MotoGP,RAC,"April,13,2009",Dry,26º,22º,79%,2,20.0,46,Valentino ROSSI,ITA,Fiat Yamaha Team,Yamaha,165.0,+7.771
2,2009,QAT,COMMERCIALBANK GRAND PRIX OF QATAR - Losail International Circuit,MotoGP,RAC,"April,13,2009",Dry,26º,22º,79%,3,16.0,99,Jorge LORENZO,SPA,Fiat Yamaha Team,Yamaha,164.5,+16.244
3,2009,QAT,COMMERCIALBANK GRAND PRIX OF QATAR - Losail International Circuit,MotoGP,RAC,"April,13,2009",Dry,26º,22º,79%,4,13.0,5,Colin EDWARDS,USA,Monster Yamaha Tech 3,Yamaha,164.0,+24.410
4,2009,QAT,COMMERCIALBANK GRAND PRIX OF QATAR - Losail International Circuit,MotoGP,RAC,"April,13,2009",Dry,26º,22º,79%,5,11.0,4,Andrea DOVIZIOSO,ITA,Repsol Honda Team,Honda,163.8,+27.263
5,2009,QAT,COMMERCIALBANK GRAND PRIX OF QATAR - Losail International Circuit,MotoGP,RAC,"April,13,2009",Dry,26º,22º,79%,6,10.0,15,Alex DE ANGELIS,RSM,San Carlo Honda Gresini,Honda,163.6,+29.883
6,2009,QAT,COMMERCIALBANK GRAND PRIX OF QATAR - Losail International Circuit,MotoGP,RAC,"April,13,2009",Dry,26º,22º,79%,7,9.0,7,Chris VERMEULEN,AUS,Rizla Suzuki MotoGP,Suzuki,163.4,+33.627
7,2009,QAT,COMMERCIALBANK GRAND PRIX OF QATAR - Losail International Circuit,MotoGP,RAC,"April,13,2009",Dry,26º,22º,79%,8,8.0,36,Mika KALLIO,FIN,Pramac Racing,Ducati,163.3,+34.755
8,2009,QAT,COMMERCIALBANK GRAND PRIX OF QATAR - Losail International Circuit,MotoGP,RAC,"April,13,2009",Dry,26º,22º,79%,9,7.0,24,Toni ELIAS,SPA,San Carlo Honda Gresini,Honda,163.0,+39.481
9,2009,QAT,COMMERCIALBANK GRAND PRIX OF QATAR - Losail International Circuit,MotoGP,RAC,"April,13,2009",Dry,26º,22º,79%,10,6.0,14,Randy DE PUNIET,FRA,LCR Honda MotoGP,Honda,162.9,+42.284
10,2009,QAT,COMMERCIALBANK GRAND PRIX OF QATAR - Losail International Circuit,MotoGP,RAC,"April,13,2009",Dry,26º,22º,79%,11,5.0,3,Dani PEDROSA,SPA,Repsol Honda Team,Honda,162.5,+48.526
11,2009,QAT,COMMERCIALBANK GRAND PRIX OF QATAR - Losail International Circuit,MotoGP,RAC,"April,13,2009",Dry,26º,22º,79%,12,4.0,69,Nicky HAYDEN,USA,Ducati Marlboro Team,Ducati,162.5,+48.883
12,2009,QAT,COMMERCIALBANK GRAND PRIX OF QATAR - Losail International Circuit,MotoGP,RAC,"April,13,2009",Dry,26º,22º,79%,13,3.0,59,Sete GIBERNAU,SPA,Grupo Francisco Hernando,Ducati,162.2,+52.215
13,2009,QAT,COMMERCIALBANK GRAND PRIX OF QATAR - Losail International Circuit,MotoGP,RAC,"April,13,2009",Dry,26º,22º,79%,14,2.0,33,Marco MELANDRI,ITA,Hayate Racing Team,Kawasaki,162.0,+56.379
14,2009,QAT,COMMERCIALBANK GRAND PRIX OF QATAR - Losail International Circuit,MotoGP,RAC,"April,13,2009",Dry,26º,22º,79%,15,1.0,72,Yuki TAKAHASHI,JPN,Scot Racing Team MotoGP,Honda,161.8,+1'00.286
15,2009,QAT,COMMERCIALBANK GRAND PRIX OF QATAR - Losail International Circuit,MotoGP,RAC,"April,13,2009",Dry,26º,22º,79%,16,0.0,52,James TOSELAND,GBR,Monster Yamaha Tech 3,Yamaha,160.9,+1'14.978
16,2009,QAT,COMMERCIALBANK GRAND PRIX OF QATAR - Losail International Circuit,MotoGP,RAC,"April,13,2009",Dry,26º,22º,79%,17,0.0,88,Niccolo CANEPA,ITA,Pramac Racing,Ducati,160.9,+1'15.028
17,2009,QAT,COMMERCIALBANK GRAND PRIX OF QATAR - Losail International Circuit,MotoGP,RAC,"April,13,2009",Dry,26º,22º,79%,crash,0.0,65,Loris CAPIROSSI,ITA,Rizla Suzuki MotoGP,Suzuki,163.4,15 Laps
18,2009,QAT,COMMERCIALBANK GRAND PRIX OF QATAR - Losail International Circuit,250cc,RAC,"April,12,2009",Dry,25º,24º,41%,1,25.0,40,Hector BARBERA,SPA,Pepe World Team,Aprilia,156.3,26'50.940
19,2009,QAT,COMMERCIALBANK GRAND PRIX OF QATAR - Losail International Circuit,250cc,RAC,"April,12,2009",Dry,25º,24º,41%,2,20.0,16,Jules CLUZEL,FRA,Matteoni Racing,Aprilia,156.2,+0.826
20,2009,QAT,COMMERCIALBANK GRAND PRIX OF QATAR - Losail International Circuit,250cc,RAC,"April,12,2009",Dry,25º,24º,41%,3,16.0,63,Mike DI MEGLIO,FRA,Mapfre Aspar Team 250cc,Aprilia,155.7,+6.181
21,2009,QAT,COMMERCIALBANK GRAND PRIX OF QATAR - Losail International Circuit,250cc,RAC,"April,12,2009",Dry,25º,24º,41%,4,13.0,4,Hiroshi AOYAMA,JPN,Scot Racing Team 250cc,Honda,155.7,+6.609
